 ,Rxns,Reactions,Gene-Protein Rules,Lower Bound,Upper Bound
rn00680 Methane metabolism; rn01240 Biosynthesis of cofactors,(5-Formylfuran-3-yl)methyl phosphate + Orthophosphate + 2 H2O <=> 2 D-Glyceraldehyde 3-phosphate,2 h2o[c] + pi[c] + 4hfcp[c]  <=> 2 g3p[c] ,MCON_2254,-20,20
rn00680 Methane metabolism; rn01240 Biosynthesis of cofactors,(5-Formylfuran-3-yl)methyl phosphate + L-Alanine <=> [5-(Aminomethyl)furan-3-yl]methyl phosphate + Pyruvate,ala_L[c] + 4hfcp[c]  <=> pyr[c] + 5amm3furaetohp[c] ,MCON_2279,-20,20
rn00680 Methane metabolism; rn01240 Biosynthesis of cofactors,[5-(Aminomethyl)furan-3-yl]methyl phosphate + ATP <=> [5-(Aminomethyl)furan-3-yl]methyl diphosphate + ADP,atp[c] + 5amm3furaetohp[c]  <=> adp[c] + 5amm3furaetohppi[c] ,MCON_0142,-20,20
rn00680 Methane metabolism; rn01240 Biosynthesis of cofactors,[5-(Aminomethyl)furan-3-yl]methyl diphosphate + gamma-Glutamyltyramine <=> (4-{4-[2-(gamma-L-Glutamylamino)ethyl]phenoxymethyl}furan-2-yl)methanamine + Diphosphate,ggluttym[c] + 5amm3furaetohppi[c]  <=> ppi[c] + apmfglu[c] ,MCON_2321,-20,20
rn00680 Methane metabolism; rn01240 Biosynthesis of cofactors,"5-Amino-6-(1-D-ribitylamino)uracil + L-Tyrosine + S-Adenosyl-L-methionine <=> 5-Amino-5-(4-hydroxybenzyl)-6-(D-ribitylimino)-5,6-dihydrouracil + Iminoglycine + L-Methionine + 5'-Deoxyadenosine",amet[c] + tyr_L[c] + 5am61dribiamura[c]  <=> met_L[c] + dad_5[c] + imogly[c] + 5am54hb6dribi56dura[c] ,MCON_3335,-20,20
rn00680 Methane metabolism; rn01240 Biosynthesis of cofactors,"5-Amino-5-(4-hydroxybenzyl)-6-(D-ribitylimino)-5,6-dihydrouracil + S-Adenosyl-L-methionine <=> 7,8-Didemethyl-8-hydroxy-5-deazariboflavin + Ammonia + L-Methionine + 5'-Deoxyadenosine",amet[c] + 5am54hb6dribi56dura[c]  <=> nh4[c] + met_L[c] + dad_5[c] + ddhrb[c] ,MCON_1058,-20,20
rn00710 Carbon fixation by Calvin cycle; rn01200 Carbon metabolism,"D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate",h2o[c] + co2[c] + rb15bp[c]  <=> 2 3pg[c] ,MCON_3086,-20,20
rn00710 Carbon fixation by Calvin cycle; rn01200 Carbon metabolism,"ATP + D-Ribulose 5-phosphate <=> ADP + D-Ribulose 1,5-bisphosphate",atp[c] + ru5p_D[c]  <=> adp[c] + rb15bp[c] ,MCON_1902,-20,20
rn00710 Carbon fixation by Calvin cycle; rn01200 Carbon metabolism,"Sedoheptulose 1,7-bisphosphate <=> Glycerone phosphate + D-Erythrose 4-phosphate",s17bp[c]  <=> dhap[c] + e4p[c] ,MCON_2528 | MCON_1478 | MCON_3321 | MCON_3232 | MCON_2526,-20,20
rn00710 Carbon fixation by Calvin cycle; rn01200 Carbon metabolism,"Sedoheptulose 1,7-bisphosphate + H2O <=> Sedoheptulose 7-phosphate + Orthophosphate",h2o[c] + s17bp[c]  <=> pi[c] + s7p[c] ,MCON_2525 | MCON_2528,-20,20
rn00720 Other carbon fixation pathways; rn01200 Carbon metabolism,Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO,accoa[c] + thf[c]  <=> coa[c] + co[c] + 5mthf[c] ,MCON_1942 | MCON_1330,-20,20
rn00720 Other carbon fixation pathways; rn01200 Carbon metabolism,Fumarate + Coenzyme M + Coenzyme B <=> Succinate + Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide,fum[c] + com[c] + cob[c]  <=> succ[c] + coms[c] ,MCON_3042,-20,20
rn00730 Thiamine metabolism,Thiamin diphosphate + H2O <=> Thiamin monophosphate + Orthophosphate,h2o[c] + thmpp[c]  <=> pi[c] + thmmp[c] ,MCON_1365,-20,20
rn00730 Thiamine metabolism,Thiamin diphosphate + ADP <=> Thiamin triphosphate + AMP,adp[c] + thmpp[c]  <=> amp[c] + thmtp[c] ,MCON_1964 | MCON_1615,-20,20
rn00730 Thiamine metabolism; rn01240 Biosynthesis of cofactors,ATP + Thiamin monophosphate <=> ADP + Thiamin diphosphate,atp[c] + thmmp[c]  <=> adp[c] + thmpp[c] ,MCON_3190,-20,20
rn00730 Thiamine metabolism; rn01240 Biosynthesis of cofactors,Thiamin monophosphate + H2O <=> Thiamine + Orthophosphate,h2o[c] + thmmp[c]  <=> pi[c] + thm[c] ,MCON_2339,-20,20
rn00730 Thiamine metabolism; rn01240 Biosynthesis of cofactors,4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 4-Methyl-5-(2-phosphooxyethyl)thiazole <=> Diphosphate + Thiamin monophosphate,4mpetz[c] + 2mahmp[c]  <=> ppi[c] + thmmp[c] ,MCON_3369 | MCON_0806,-20,20
rn00730 Thiamine metabolism; rn01240 Biosynthesis of cofactors,ATP + 4-Amino-5-hydroxymethyl-2-methylpyrimidine <=> ADP + 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine,atp[c] + 4ahmmp[c]  <=> adp[c] + hmpp[c] ,MCON_0806,-20,20
rn00730 Thiamine metabolism; rn01240 Biosynthesis of cofactors,Aminoimidazole ribotide + S-Adenosyl-L-methionine <=> 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine + 5'-Deoxyadenosine + L-Methionine + Formate + CO,amet[c] + air[c]  <=> for[c] + met_L[c] + co[c] + hmpp[c] + dad_5[c] ,MCON_1611,-20,20
rn00730 Thiamine metabolism; rn01240 Biosynthesis of cofactors,ATP + 5-(2-Hydroxyethyl)-4-methylthiazole <=> ADP + 4-Methyl-5-(2-phosphooxyethyl)thiazole,atp[c] + 4mhetz[c]  <=> adp[c] + 4mpetz[c] ,MCON_3370,-20,20
rn00730 Thiamine metabolism; rn01240 Biosynthesis of cofactors,ATP + 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine <=> ADP + 4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate,atp[c] + hmpp[c]  <=> adp[c] + 2mahmp[c] ,MCON_0806,-20,20
rn00730 Thiamine metabolism; rn01240 Biosynthesis of cofactors,4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate <=> Thiamin monophosphate + Diphosphate + CO2,2mahmp[c] + cthzp[c]  <=> co2[c] + ppi[c] + thmmp[c] ,MCON_3369 | MCON_0806,-20,20
rn00730 Thiamine metabolism; rn01240 Biosynthesis of cofactors,NAD+ + Glycine + Hydrogen sulfide <=> Nicotinamide + ADP-5-ethyl-4-methylthiazole-2-carboxylate + 3 H2O,nad[c] + gly[c] + h2s[c]  <=> 3 h2o[c] + ncam[c] + adp5ethy4mthiaz2caate[c] ,MCON_3229,-20,20
rn00740 Riboflavin metabolism,CTP + Riboflavin <=> CDP + FMN,ctp[c] + ribflv[c]  <=> fmn[c] + cdp[c] ,MCON_0442,-20,20
rn00740 Riboflavin metabolism,Dimethylallyl phosphate + Reduced FMN <=> Prenylated FMNH2 + Orthophosphate,fmnh2[c] + dmallyp[c]  <=> pi[c] + fmnh2[c] ,MCON_3057,-20,20
rn00740 Riboflavin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,"2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil",2 dmlz[c]  <=> ribflv[c] + 5am61dribiamura[c] ,MCON_1631,-20,20
rn00740 Riboflavin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,ATP + FMN <=> Diphosphate + FAD,atp[c] + fmn[c]  <=> ppi[c] + fad[c] ,MCON_1493,-20,20
rn00740 Riboflavin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,"5-Amino-6-(1-D-ribitylamino)uracil + L-3,4-Dihydroxybutan-2-one 4-phosphate <=> 6,7-Dimethyl-8-(D-ribityl)lumazine + 2 H2O + Orthophosphate",5am61dribiamura[c] + 2h3obutyp[c]  <=> 2 h2o[c] + pi[c] + dmlz[c] ,MCON_2295,-20,20
rn00740 Riboflavin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,"D-Ribulose 5-phosphate <=> L-3,4-Dihydroxybutan-2-one 4-phosphate + Formate",ru5p_D[c]  <=> for[c] + 2h3obutyp[c] ,MCON_1155,-20,20
rn00740 Riboflavin metabolism; rn01240 Biosynthesis of cofactors,"2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + NADH + H+ <=> 2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one + NAD+",nadh[c] + h[c] + 25dam65pdriboampyridn43hone[c]  <=> nad[c] + 25dam65pdribiampyridn43hone[c] ,MCON_0173 | MCON_0968,-20,20
rn00740 Riboflavin metabolism; rn01240 Biosynthesis of cofactors,"2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + NADPH + H+ <=> 2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one + NADP+",nadph[c] + h[c] + 25dam65pdriboampyridn43hone[c]  <=> nadp[c] + 25dam65pdribiampyridn43hone[c] ,MCON_0173 | MCON_0968,-20,20
rn00760 Nicotinate and nicotinamide metabolism,ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+,atp[c] + nmn[c]  <=> nad[c] + ppi[c] ,MCON_2395,-20,20
rn00760 Nicotinate and nicotinamide metabolism,Nicotinamide D-ribonucleotide + H2O <=> Nicotinamide-beta-riboside + Orthophosphate,h2o[c] + nmn[c]  <=> pi[c] + rnam[c] ,MCON_0299,-20,20
rn00760 Nicotinate and nicotinamide metabolism,Nicotinate D-ribonucleotide + H2O <=> Nicotinate D-ribonucleoside + Orthophosphate,h2o[c] + nicrnt[c]  <=> pi[c] + nicrns[c] ,MCON_0299,-20,20
rn00760 Nicotinate and nicotinamide metabolism; rn01240 Biosynthesis of cofactors,ATP + NAD+ <=> ADP + NADP+,atp[c] + nad[c]  <=> nadp[c] + adp[c] ,MCON_2072,-20,20
rn00760 Nicotinate and nicotinamide metabolism; rn01240 Biosynthesis of cofactors,ATP + Deamino-NAD+ + Ammonia <=> AMP + Diphosphate + NAD+,atp[c] + nh4[c] + dnad[c]  <=> nad[c] + ppi[c] + amp[c] ,MCON_1866,-20,20
rn00760 Nicotinate and nicotinamide metabolism; rn01240 Biosynthesis of cofactors,ATP + Deamino-NAD+ + L-Glutamine + H2O <=> AMP + Diphosphate + NAD+ + L-Glutamate,h2o[c] + atp[c] + gln_L[c] + dnad[c]  <=> nad[c] + ppi[c] + amp[c] + glu_L[c] ,MCON_1866,-20,20
rn00760 Nicotinate and nicotinamide metabolism; rn01240 Biosynthesis of cofactors,Nicotinamide + H2O <=> Nicotinate + Ammonia,h2o[c] + ncam[c]  <=> nh4[c] + nac[c] ,MCON_1757,-20,20
rn00760 Nicotinate and nicotinamide metabolism; rn01240 Biosynthesis of cofactors,ATP + Nicotinate D-ribonucleotide <=> Diphosphate + Deamino-NAD+,atp[c] + nicrnt[c]  <=> ppi[c] + dnad[c] ,MCON_2395,-20,20
rn00760 Nicotinate and nicotinamide metabolism; rn01240 Biosynthesis of cofactors,Nicotinate D-ribonucleotide + Diphosphate + CO2 <=> Quinolinate + 5-Phospho-alpha-D-ribose 1-diphosphate,co2[c] + ppi[c] + nicrnt[c]  <=> prpp[c] + quln[c] ,MCON_1164,-20,20
rn00760 Nicotinate and nicotinamide metabolism; rn01240 Biosynthesis of cofactors,Quinolinate + 2 H2O + Orthophosphate <=> Iminoaspartate + Glycerone phosphate,2 h2o[c] + pi[c] + quln[c]  <=> dhap[c] + iasp[c] ,MCON_2769,-20,20
rn00760 Nicotinate and nicotinamide metabolism; rn01240 Biosynthesis of cofactors,L-Aspartate + NADP+ <=> Iminoaspartate + NADPH + H+,nadp[c] + asp_L[c]  <=> nadph[c] + h[c] + iasp[c] ,MCON_1163,-20,20
rn00760 Nicotinate and nicotinamide metabolism; rn01240 Biosynthesis of cofactors,L-Aspartate + NAD+ <=> Iminoaspartate + NADH + H+,nad[c] + asp_L[c]  <=> nadh[c] + h[c] + iasp[c] ,MCON_1163,-20,20
rn00770 Pantothenate and CoA biosynthesis,"(R)-2,3-Dihydroxy-3-methylbutanoate + NADP+ <=> (S)-2-Acetolactate + NADPH + H+",nadp[c] + 23dhmb[c]  <=> nadph[c] + h[c] + alac_S[c] ,MCON_0412,-20,20
rn00770 Pantothenate and CoA biosynthesis,GTP + Dephospho-CoA <=> GDP + CoA,gtp[c] + dpcoa[c]  <=> coa[c] + gdp[c] ,MCON_3184,-20,20
rn00770 Pantothenate and CoA biosynthesis; rn01240 Biosynthesis of cofactors,ATP + Pantetheine 4'-phosphate <=> Diphosphate + Dephospho-CoA,atp[c] + pan4p[c]  <=> ppi[c] + dpcoa[c] ,MCON_1494,-20,20
rn00770 Pantothenate and CoA biosynthesis; rn01240 Biosynthesis of cofactors,(R)-4'-Phosphopantothenoyl-L-cysteine <=> Pantetheine 4'-phosphate + CO2,4ppcys[c]  <=> co2[c] + pan4p[c] ,MCON_3480,-20,20
rn00770 Pantothenate and CoA biosynthesis; rn01240 Biosynthesis of cofactors,CTP + D-4'-Phosphopantothenate + L-Cysteine <=> CMP + Diphosphate + (R)-4'-Phosphopantothenoyl-L-cysteine,ctp[c] + cys_L[c] + 4ppan[c]  <=> ppi[c] + cmp[c] + 4ppcys[c] ,MCON_3480,-20,20
rn00770 Pantothenate and CoA biosynthesis; rn01240 Biosynthesis of cofactors,ATP + (R)-Pantoate <=> ADP + (R)-4-Phosphopantoate,atp[c] + pant_R[c]  <=> adp[c] + r4ppant[c] ,MCON_3479,-20,20
rn00790 Folate biosynthesis,"ATP + 6-(Hydroxymethyl)-7,8-dihydropterin <=> AMP + 6-Hydroxymethyl-7,8-dihydropterin diphosphate",atp[c] + 6hm78dhpter[c]  <=> amp[c] + 2ahhm[c] ,MCON_1908,-20,20
rn00790 Folate biosynthesis,"7,8-Dihydroneopterin 3'-triphosphate + H2O <=> 6-Carboxy-5,6,7,8-tetrahydropterin + Acetaldehyde + Triphosphate",h2o[c] + ahdt[c]  <=> acald[c] + pppi[c] + cph4[c] ,MCON_1447,-20,20
rn00790 Folate biosynthesis,7-Carboxy-7-carbaguanine + Ammonia + ATP <=> 7-Cyano-7-carbaguanine + ADP + Orthophosphate + H2O,atp[c] + nh4[c] + 7ca7carbgua[c]  <=> h2o[c] + adp[c] + pi[c] + preq0[c] ,MCON_0533,-20,20
rn00790 Folate biosynthesis,"6-Carboxy-5,6,7,8-tetrahydropterin <=> 7-Carboxy-7-carbaguanine + Ammonia",cph4[c]  <=> nh4[c] + 7ca7carbgua[c] ,MCON_0125,-20,20
rn00790 Folate biosynthesis,"GTP + H2O <=> 7,8-Dihydroneopterin 2',3'-cyclic phosphate + Formate + Diphosphate",h2o[c] + gtp[c]  <=> ppi[c] + for[c] + dhp23cp[c] ,MCON_3313,-20,20
rn00790 Folate biosynthesis,5-Phospho-alpha-D-ribose 1-diphosphate + 4-Hydroxybenzoate <=> 4-(beta-D-Ribofuranosyl)phenol 5'-phosphate + CO2 + Diphosphate,prpp[c] + 4hbz[c]  <=> co2[c] + ppi[c] + 4bdribophen5p[c] ,MCON_2372 | MCON_0135,-20,20
rn00790 Folate biosynthesis,Molybdoenzyme molybdenum cofactor + GTP <=> Guanylyl molybdenum cofactor + Diphosphate,gtp[c] + moco[c]  <=> ppi[c] + mocogdp[c] ,MCON_0226,-20,20
rn00790 Folate biosynthesis; rn01240 Biosynthesis of cofactors,"6-(Hydroxymethyl)-7,8-dihydropterin + 4-Aminobenzoate <=> Dihydropteroate + H2O",4abz[c] + 6hm78dhpter[c]  <=> h2o[c] + dhpt[c] ,MCON_3444,-20,20
rn00790 Folate biosynthesis; rn01240 Biosynthesis of cofactors,"6-Hydroxymethyl-7,8-dihydropterin diphosphate + 4-Aminobenzoate <=> Diphosphate + Dihydropteroate",4abz[c] + 2ahhm[c]  <=> ppi[c] + dhpt[c] ,MCON_3444,-20,20
rn00790 Folate biosynthesis; rn01240 Biosynthesis of cofactors,"7,8-Dihydroneopterin <=> Glycolaldehyde + 6-(Hydroxymethyl)-7,8-dihydropterin",dhnpt[c]  <=> gcald[c] + 6hm78dhpter[c] ,MCON_0460,-20,20
rn00790 Folate biosynthesis; rn01240 Biosynthesis of cofactors,"7,8-Dihydroneopterin 3'-triphosphate <=> 6-Pyruvoyltetrahydropterin + Triphosphate",ahdt[c]  <=> pppi[c] + 6pthp[c] ,MCON_1447,-20,20
rn00790 Folate biosynthesis; rn01240 Biosynthesis of cofactors,"7,8-Dihydroneopterin 3'-triphosphate + 3 H2O <=> 7,8-Dihydroneopterin + 3 Orthophosphate",3 h2o[c] + ahdt[c]  <=> 3 pi[c] + dhnpt[c] ,MCON_2339,-20,20
rn00790 Folate biosynthesis; rn01240 Biosynthesis of cofactors,"ATP + 5,6,7,8-Tetrahydromethanopterin + L-Glutamate <=> ADP + Orthophosphate + Tetrahydrosarcinapterin",atp[c] + glu_L[c] + h4mpt[c]  <=> adp[c] + pi[c] + h4spt[c] ,MCON_0555,-20,20
rn00790 Folate biosynthesis; rn01240 Biosynthesis of cofactors,ATP + Molybdopterin <=> Diphosphate + Adenylated molybdopterin,atp[c] + M02488[c]  <=> ppi[c] + M01281[c] ,MCON_2021,-20,20
rn00790 Folate biosynthesis; rn01240 Biosynthesis of cofactors,Adenylated molybdopterin + Molybdate <=> Molybdoenzyme molybdenum cofactor + AMP + H2O,mobd[c] + M01281[c]  <=> h2o[c] + amp[c] + moco[c] ,MCON_1509 | MCON_2884,-20,20
rn00790 Folate biosynthesis; rn01240 Biosynthesis of cofactors,"6-Hydroxymethyl-7,8-dihydropterin diphosphate + 4-(beta-D-Ribofuranosyl)aniline 5'-phosphate <=> N-[(7,8-Dihydropterin-6-yl)methyl]-4-(beta-D-ribofuranosyl)aniline 5'-phosphate + Diphosphate",2ahhm[c] + 4bdriboanil5p[c]  <=> ppi[c] + n78dhpter6ylm4bdriboanil5p[c] ,MCON_0701,-20,20
rn00790 Folate biosynthesis; rn01240 Biosynthesis of cofactors,"(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate + H2O <=> Precursor Z + Diphosphate",h2o[c] + 38ch2gtp[c]  <=> ppi[c] + M01618 ,MCON_1531,-20,20
rn00860 Porphyrin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O,2 5aop[c]  <=> 2 h2o[c] + ppbng[c] ,MCON_1501,-20,20
rn00860 Porphyrin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia,h2o[c] + 4 ppbng[c]  <=> 4 nh4[c] + hmbil[c] ,MCON_0900,-20,20
rn00860 Porphyrin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,5-Aminolevulinate <=> (S)-4-Amino-5-oxopentanoate,5aop[c]  <=> glu1sa[c] ,MCON_0899,-20,20
rn00860 Porphyrin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,Hydroxymethylbilane <=> Uroporphyrinogen III + H2O,hmbil[c]  <=> h2o[c] + uppg3[c] ,MCON_0901,-20,20
rn00860 Porphyrin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,2 S-Adenosyl-L-methionine + Uroporphyrinogen III <=> 2 S-Adenosyl-L-homocysteine + Precorrin 2,2 amet[c] + uppg3[c]  <=> 2 ahcys[c] + pre2[c] ,MCON_0901,-20,20
rn00860 Porphyrin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,Precorrin 2 + NAD+ <=> Sirohydrochlorin + NADH + H+,nad[c] + pre2[c]  <=> nadh[c] + h[c] + scl[c] ,MCON_1503,-20,20
rn00860 Porphyrin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,Sirohydrochlorin + Nickel(2+) <=> Nickel-sirohydrochlorin + 2 H+,scl[c] + ni2[c]  <=> 2 h[c] + nisirohydro[c] ,MCON_1928,-20,20
rn00860 Porphyrin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,"Nickel-sirohydrochlorin + 2 ATP + 2 L-Glutamine + 2 H2O <=> Nickel-sirohydrochlorin a,c-diamide + 2 ADP + 2 L-Glutamate + 2 Orthophosphate",2 h2o[c] + 2 atp[c] + 2 gln_L[c] + nisirohydro[c]  <=> 2 adp[c] + 2 pi[c] + 2 glu_L[c] + ni2sirohydroacdamd[c] ,MCON_0502,-20,20
rn00860 Porphyrin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,"15,17(3)-Seco-F430-17(3)-acid + ATP <=> Coenzyme F430 + ADP + Orthophosphate",atp[c] + sf430a  <=> adp[c] + pi[c] + f430[c] ,MCON_1929,-20,20
rn00860 Porphyrin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,"Siroheme <=> 12,18-Didecarboxysiroheme + 2 CO2",sheme[c]  <=> 2 co2[c] + 1218ddecasiroheme[c] ,MCON_1213 | MCON_1504,-20,20
rn00860 Porphyrin metabolism; rn01110 Biosynthesis of secondary metabolites; rn01240 Biosynthesis of cofactors,Fe-coproporphyrin III + 2 S-Adenosyl-L-methionine <=> Heme + 2 CO2 + 2 5'-Deoxyadenosine + 2 L-Methionine,2 amet[c] + fecpp3[c]  <=> 2 co2[c] + pheme[c] + 2 met_L[c] + 2 dad_5[c] ,MCON_1212,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,S-Adenosyl-L-methionine + Precorrin 2 <=> S-Adenosyl-L-homocysteine + Precorrin 3A + H+,amet[c] + pre2[c]  <=> ahcys[c] + h[c] + pre3a[c] ,MCON_1684,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,Precorrin 8X <=> Hydrogenobyrinate,pre8[c]  <=> hgbyr[c] ,MCON_0651 | MCON_1680,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,S-Adenosyl-L-methionine + Precorrin 3B <=> S-Adenosyl-L-homocysteine + Precorrin 4,amet[c] + pre3b[c]  <=> ahcys[c] + pre4[c] ,MCON_1681,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,S-Adenosyl-L-methionine + Precorrin 4 <=> S-Adenosyl-L-homocysteine + Precorrin 5,amet[c] + pre4[c]  <=> ahcys[c] + pre5[c] ,MCON_1683,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,Adenosyl cobinamide phosphate + GTP <=> Adenosine-GDP-cobinamide + Diphosphate,gtp[c] + adocbip[c]  <=> ppi[c] + agdpcbi[c] ,MCON_1722,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,Cobamide coenzyme + GMP <=> Adenosine-GDP-cobinamide + alpha-Ribazole,gmp[c] + adocbl[c]  <=> rdmbzi[c] + agdpcbi[c] ,MCON_1723,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,"Hydrogenobyrinate + 2 L-Glutamine + 2 ATP + 2 H2O <=> Hydrogenobyrinate a,c diamide + 2 Orthophosphate + 2 L-Glutamate + 2 ADP",2 h2o[c] + 2 atp[c] + 2 gln_L[c] + hgbyr[c]  <=> 2 adp[c] + 2 pi[c] + 2 glu_L[c] + hgbam[c] ,MCON_2971,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,"Adenosyl cobyrinate a,c diamide + 4 L-Glutamine + 4 ATP + 4 H2O <=> Adenosyl cobyrinate hexaamide + 4 L-Glutamate + 4 Orthophosphate + 4 ADP",4 h2o[c] + 4 atp[c] + 4 gln_L[c] + adcobhex[c]  <=> 4 adp[c] + 4 pi[c] + 4 glu_L[c] + adena[c] ,MCON_2599,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,"Hydrogenobyrinate a,c diamide + Cobalt ion + ATP + H2O <=> Cob(II)yrinate a,c diamide + Orthophosphate + ADP + H+",h2o[c] + atp[c] + cobalt2[c] + hgbam[c]  <=> adp[c] + pi[c] + h[c] + co2dam[c] ,MCON_0660 | MCON_0667 | MCON_2203,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,Sirohydrochlorin + Cobalt ion <=> Cobalt-sirohydrochlorin + 2 H+,cobalt2[c] + scl[c]  <=> 2 h[c] + cobalt2[c] ,MCON_0747 | MCON_2896 | MCON_1928,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,Cobalt-sirohydrochlorin + S-Adenosyl-L-methionine <=> Cobalt-factor III + S-Adenosyl-L-homocysteine,amet[c] + cobalt2[c]  <=> ahcys[c] + cobalt2[c] ,MCON_1684,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,Cobalt-precorrin 4 + S-Adenosyl-L-methionine <=> Cobalt-precorrin 5A + S-Adenosyl-L-homocysteine,amet[c] + copre4[c]  <=> ahcys[c] + copre5a[c] ,MCON_1683,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,Cobalt-precorrin 8 <=> Cobyrinate,copre8[c]  <=> cobya[c] ,MCON_0651 | MCON_1680,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,"Cobyrinate + 2 L-Glutamine + 2 ATP + 2 H2O <=> Cob(II)yrinate a,c diamide + 2 L-Glutamate + 2 ADP + 2 Orthophosphate",2 h2o[c] + 2 atp[c] + 2 gln_L[c] + cobya[c]  <=> 2 adp[c] + 2 pi[c] + 2 glu_L[c] + co2dam[c] ,MCON_2971,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,Adenosyl cobyrinate hexaamide + D-1-Aminopropan-2-ol O-phosphate + ATP <=> Adenosyl cobinamide phosphate + ADP + Orthophosphate,atp[c] + applp[c] + adena[c]  <=> adp[c] + pi[c] + adocbip[c] ,MCON_1335,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,ATP + Adenosyl cobyrinate hexaamide + (R)-1-Aminopropan-2-ol <=> ADP + Orthophosphate + Adenosyl cobinamide,atp[c] + app[c[ + adena[c]  <=> adp[c] + pi[c] + adocbi[c] ,MCON_1335,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,Cobalt-precorrin 5A + H2O <=> Cobalt-precorrin 5B + Acetaldehyde,h2o[c] + copre5a[c]  <=> acald[c] + copre5b[c] ,MCON_1682,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,Cobalt-precorrin 5B + S-Adenosyl-L-methionine <=> Cobalt-precorrin 6 + S-Adenosyl-L-homocysteine,amet[c] + copre5b[c]  <=> ahcys[c] + copre6[c] ,MCON_1679,-20,20
rn00860 Porphyrin metabolism; rn01240 Biosynthesis of cofactors,Cobalt-dihydro-precorrin 6 + S-Adenosyl-L-methionine <=> Cobalt-precorrin 7 + S-Adenosyl-L-homocysteine + CO2,amet[c] + codhpre6[c]  <=> co2[c] + ahcys[c] + copre7[c] ,MCON_1685,-20,20
